word,romanization,context
버스,beoseu,**버스** 버스를 타고 시내에 갔어요. → Я поехал в центр на автобусе.
지하철,jihacheol,**지하철** 지하철이 버스보다 더 빨라요. → Метро быстрее автобуса.
기차,gicha,**기차** 우리는 기차를 타고 부산에 갈 거예요. → Мы поедем в Пусан на поезде.
비행기,bihaenggi,**비행기** 비행기가 곧 출발합니다. → Самолёт скоро вылетает.
택시,taeksi,**택시** 공항까지 택시를 탔어요. → Я взял такси до аэропорта.
자동차,jadongcha,**자동차** 자동차를 빌려서 여행하고 싶어요. → Я хочу арендовать машину и путешествовать.
배,bae,"**배** 섬에 가려면 배를 타야 해요. → Чтобы добраться до острова, нужно сесть на корабль."
표,pyo,**표** 여기에서 표를 살 수 있어요. → Здесь можно купить билеты.
역,yeok,**역** 다음 역에서 내리세요. → Выходите на следующей станции.
공항,gonghang,**공항** 공항에 일찍 도착했어요. → Я приехал в аэропорт рано.
예약하다,yeyakada,**예약하다** 호텔 방을 미리 예약했어요. → Я заранее забронировал номер в отеле.
정류장,jeongnyujang,**정류장** 버스 정류장이 어디예요? → Где находится автобусная остановка?
매표소,maepyoso,**매표소** 매표소에서 표를 사세요. → Купите билет в кассе.
출발,chulbal,**출발** 기차 출발 시간이 몇 시예요? → Во сколько отправление поезда?
도착,dochak,**도착** 비행기 도착이 조금 늦어요. → Прилёт самолёта немного задерживается.
여권,yeogwon,**여권** 여권을 잃어버리지 마세요. → Не потеряйте паспорт.
호텔,hotel,**호텔** 이 호텔은 시내 중심에 있어요. → Этот отель находится в центре города.
방,bang,**방** 방이 아주 깨끗하고 넓어요. → Комната очень чистая и просторная.
예약,yeyak,**예약** 예약을 취소하고 싶어요. → Я хочу отменить бронь.
체크인,chekeuin,**체크인** 체크인은 오후 세 시부터예요. → Заселение с трёх часов дня.
침대,chimdae,**침대** 이 방에는 침대가 두 개 있어요. → В этой комнате две кровати.
짐,jim,**짐** 짐이 너무 무거워요. → Багаж слишком тяжёлый.
가방,gabang,**가방** 가방을 방에 두고 나왔어요. → Я оставил сумку в комнате и вышел.
왼쪽,oenjjok,**왼쪽** 은행은 왼쪽에 있어요. → Банк находится слева.
오른쪽,oreunjjok,**오른쪽** 오른쪽으로 도세요. → Поверните направо.
직진,jikjin,**직진** 여기에서 직진하세요. → Идите отсюда прямо.
가깝다,gakkapda,**가깝다** 호텔이 공항에서 가까워요. → Отель находится близко к аэропорту.
멀다,meolda,**멀다** 공항이 시내에서 멀어요. → Аэропорт далеко от центра города.
지도,jido,"**지도** 지도를 보면서 길을 찾았어요. → Я искал дорогу, глядя на карту."
앞,ap,**앞** 호텔 앞에 편의점이 있어요. → Перед отелем есть магазин.
뒤,dwi,**뒤** 화장실은 건물 뒤에 있어요. → Туалет находится за зданием.
길,gil,**길** 이 길로 쭉 가세요. → Идите прямо по этой дороге.
