word,pinyin,context
飞机,fēi jī,**飞机** 八点起飞。 → **Самолёт** взлетает в восемь часов.
火车,huǒ chē,**火车** 很慢。 → **Поезд** очень медленный.
高铁,gāo tiě,**高铁** 又快又舒服。 → **Скоростной поезд** быстрый и удобный.
地铁,dì tiě,**地铁** 比公交车快。 → **Метро** быстрее автобуса.
公共汽车,gōng gòng qì chē,"我坐 **公共汽车** 上班。 → Я езжу на работу на **автобусе**."
出租车,chū zū chē,我们打 **出租车** 去机场。 → Мы возьмём **такси** до аэропорта.
自行车,zì xíng chē,他骑 **自行车** 去学校。 → Он едет в школу на **велосипеде**.
汽车,qì chē,这辆 **汽车** 很贵。 → Эта **машина** очень дорогая.
船,chuán,我们坐 **船** 过河。 → Мы переправляемся через реку на **лодке**.
机场,jī chǎng,**机场** 离市中心很远。 → **Аэропорт** далеко от центра города.
火车站,huǒ chē zhàn,**火车站** 在前面。 → **Вокзал** впереди.
地铁站,dì tiě zhàn,**地铁站** 在哪儿？ → Где **станция метро**?
车站,chē zhàn,我在 **车站** 等你。 → Я жду тебя на **остановке**.
票,piào,这张 **票** 多少钱？ → Сколько стоит этот **билет**?
飞机票,fēi jī piào,我买了两张 **飞机票**。 → Я купил два **билета на самолёт**.
火车票,huǒ chē piào,**火车票** 卖完了。 → **Билеты на поезд** распроданы.
单程票,dān chéng piào,我要一张 **单程票**。 → Мне нужен один билет в **одну сторону**.
护照,hù zhào,请出示您的 **护照**。 → Покажите ваш **паспорт**.
签证,qiān zhèng,我的 **签证** 下周到期。 → Моя **виза** заканчивается на следующей неделе.
行李,xíng lǐ,我的 **行李** 不多。 → У меня немного **багажа**.
行李箱,xíng lǐ xiāng,**行李箱** 太重了。 → **Чемодан** слишком тяжёлый.
背包,bēi bāo,他带了一个 **背包**。 → Он взял с собой **рюкзак**.
酒店,jiǔ diàn,我们住在这家 **酒店**。 → Мы живём в этой **гостинице**.
宾馆,bīn guǎn,这个 **宾馆** 很便宜。 → Эта **гостиница** очень дешёвая.
旅馆,lǚ guǎn,**旅馆** 离车站很近。 → **Хостел** рядом с вокзалом.
房间,fáng jiān,我的 **房间** 在三楼。 → Моя **комната** на третьем этаже.
双人间,shuāng rén jiān,我们订了一个 **双人间**。 → Мы забронировали **двухместный номер**.
前台,qián tái,请去 **前台** 办手续。 → Пройдите на **ресепшен** для оформления.
钥匙,yào shi,我把 **钥匙** 丢了。 → Я потерял **ключ**.
退房,tuì fáng,**退房** 时间是中午十二点。 → Время **выезда** — двенадцать часов.
入住,rù zhù,我们下午三点 **入住**。 → Мы **заселяемся** в три часа дня.
旅游,lǚ yóu,我喜欢去国外 **旅游**。 → Я люблю **путешествовать** за границу.
旅行,lǚ xíng,这次 **旅行** 很愉快。 → Это **путешествие** было приятным.
出发,chū fā,我们明天早上 **出发**。 → Мы **отправляемся** завтра утром.
到达,dào dá,飞机准时 **到达** 北京。 → Самолёт **прибыл** в Пекин вовремя.
起飞,qǐ fēi,飞机马上要 **起飞** 了。 → Самолёт сейчас будет **взлетать**.
降落,jiàng luò,飞机已经 **降落** 了。 → Самолёт уже **приземлился**.
预订,yù dìng,我 **预订** 了一个房间。 → Я **забронировал** номер.
转机,zhuǎn jī,我们在上海 **转机**。 → У нас **пересадка** в Шанхае.
景点,jǐng diǎn,这个 **景点** 很有名。 → Эта **достопримечательность** очень известна.
长城,cháng chéng,**长城** 非常壮观。 → **Великая стена** очень впечатляющая.
故宫,gù gōng,我们去 **故宫** 参观。 → Мы идём посмотреть **Запретный город**.
拍照,pāi zhào,我们在这儿 **拍照** 吧。 → Давайте **сфотографируемся** здесь.
地图,dì tú,"请给我一张 **地图**。 → Пожалуйста, дайте мне **карту**."
导游,dǎo yóu,我们的 **导游** 会说英语。 → Наш **гид** говорит по-английски.
现金,xiàn jīn,我没有 **现金**。 → У меня нет **наличных**.
信用卡,xìn yòng kǎ,你们收 **信用卡** 吗？ → Вы принимаете **кредитные карты**?
直走,zhí zǒu,**直走** 五分钟就到了。 → **Идите прямо** пять минут и придёте.
前面,qián miàn,饭店在 **前面**。 → Ресторан **впереди**.
旁边,páng biān,银行在酒店 **旁边**。 → Банк **рядом** с гостиницей.
