word,romanization,context
머리,meori,**머리** 머리가 너무 아파요. → У меня очень болит голова.
얼굴,eolgul,**얼굴** 그녀의 얼굴이 예뻐요. → У неё красивое лицо.
눈,nun,**눈** 저는 눈이 나빠요. → У меня плохое зрение.
코,ko,**코** 코가 막혔어요. → У меня заложен нос.
입,ip,**입** 입을 크게 벌리세요. → Откройте рот пошире.
귀,gwi,**귀** 귀가 잘 안 들려요. → Я плохо слышу.
이,i,"**이** 이가 아파서 치과에 가요. → Зуб болит, поэтому иду к стоматологу."
목,mok,"**목** 목이 아파서 말하기 힘들어요. → Горло болит, тяжело говорить."
어깨,eokkae,**어깨** 어깨가 많이 결려요. → У меня сильно ноют плечи.
팔,pal,**팔** 넘어져서 팔이 부러졌어요. → Я упал и сломал руку.
손,son,**손** 손을 깨끗이 씻으세요. → Помойте руки как следует.
손가락,songarak,**손가락** 칼에 손가락을 베였어요. → Я порезал палец ножом.
가슴,gaseum,**가슴** 가슴이 답답해요. → У меня стеснение в груди.
배,bae,**배** 아침부터 배가 아파요. → С утра болит живот.
등,deung,**등** 등이 가려워요. → У меня чешется спина.
허리,heori,"**허리** 허리가 아파서 못 앉아요. → Поясница болит, не могу сидеть."
다리,dari,"**다리** 다리가 아파서 걷기 힘들어요. → Ноги болят, поэтому тяжело ходить."
무릎,mureup,**무릎** 무릎이 아파요. → У меня болит колено.
발,bal,"**발** 신발이 작아서 발이 아파요. → Обувь мала, поэтому болят ноги."
피,pi,**피** 상처에서 피가 나요. → Из раны идёт кровь.
뼈,ppyeo,"**뼈** 스키를 타다가 뼈가 부러졌어요. → Катаясь на лыжах, я сломал кость."
심장,simjang,**심장** 심장이 빨리 뛰어요. → Сердце быстро бьётся.
피부,pibu,**피부** 겨울에는 피부가 건조해요. → Зимой кожа сухая.
아프다,apeuda,**아프다** 어제부터 몸이 아파요. → Со вчерашнего дня мне нездоровится.
열,yeol,**열** 열이 많이 나요. → У меня сильный жар.
기침,gichim,**기침** 기침이 계속 나와요. → Кашель никак не проходит.
감기,gamgi,**감기** 감기에 걸렸어요. → Я простудился.
콧물,konmul,**콧물** 콧물이 계속 나요. → У меня всё время течёт из носа.
두통,dutong,**두통** 두통이 너무 심해요. → У меня очень сильная головная боль.
배탈,baetal,**배탈** 찬 음식을 먹고 배탈이 났어요. → Я поел холодного и получил расстройство желудка.
상처,sangcheo,**상처** 무릎에 상처가 났어요. → На колене появилась рана.
병,byeong,**병** 그는 큰 병에 걸렸어요. → Он серьёзно заболел.
다치다,dachida,"**다치다** 축구를 하다가 다쳤어요. → Я поранился, играя в футбол."
피곤하다,pigonhada,**피곤하다** 오늘 너무 피곤해요. → Сегодня я очень устал.
병원,byeongwon,**병원** 아파서 병원에 갔어요. → Я заболел и пошёл в больницу.
의사,uisa,**의사** 의사 선생님을 만났어요. → Я встретился с врачом.
간호사,ganhosa,**간호사** 간호사가 주사를 놨어요. → Медсестра сделала укол.
약,yak,**약** 하루에 세 번 약을 드세요. → Принимайте лекарство три раза в день.
약국,yakguk,**약국** 약국에서 약을 샀어요. → Я купил лекарство в аптеке.
주사,jusa,**주사** 저는 주사를 맞기 싫어요. → Я не хочу делать укол.
치과,chigwa,**치과** 저는 정기적으로 치과에 가요. → Я регулярно хожу к стоматологу.
건강,geongang,**건강** 건강이 제일 중요해요. → Здоровье важнее всего.
건강하다,geonganghada,**건강하다** 할머니는 아주 건강하세요. → Бабушка очень здоровая.
운동,undong,**운동** 매일 아침에 운동을 해요. → Каждое утро я занимаюсь спортом.
쉬다,swida,**쉬다** 주말에는 집에서 쉬어요. → На выходных я отдыхаю дома.
잠,jam,**잠** 어젯밤에 잠을 못 잤어요. → Прошлой ночью я не смог поспать.
