word,pinyin,context
米饭,mǐ fàn,**米饭** 是中国人的主食。 → **Рис** — основная еда китайцев.
面条,miàn tiáo,**面条** 很好吃。 → **Лапша** очень вкусная.
面包,miàn bāo,我早上吃**面包**。 → Утром я ем **хлеб**.
包子,bāo zi,**包子** 里面有肉。 → Внутри **баоцзы** есть мясо.
饺子,jiǎo zi,我们一起吃**饺子**。 → Мы вместе едим **пельмени**.
馒头,mán tou,他喜欢吃**馒头**。 → Он любит есть **маньтоу**.
粥,zhōu,我每天早上喝**粥**。 → Я каждое утро ем **кашу**.
汤,tāng,这个**汤** 很热。 → Этот **суп** очень горячий.
菜,cài,"妈妈做的**菜** 很香。 → **Блюда**, которые готовит мама, очень ароматные."
肉,ròu,我不吃**肉**。 → Я не ем **мясо**.
鱼,yú,他喜欢吃**鱼**。 → Он любит есть **рыбу**.
鸡蛋,jī dàn,我早上吃两个**鸡蛋**。 → Утром я съедаю два **яйца**.
牛肉,niú ròu,这个**牛肉** 很嫩。 → Эта **говядина** очень нежная.
猪肉,zhū ròu,**猪肉** 比牛肉便宜。 → **Свинина** дешевле говядины.
鸡肉,jī ròu,我喜欢吃**鸡肉**。 → Я люблю есть **курятину**.
羊肉,yáng ròu,北方人爱吃**羊肉**。 → Северяне любят есть **баранину**.
蔬菜,shū cài,**蔬菜** 对身体好。 → **Овощи** полезны для здоровья.
西红柿,xī hóng shì,**西红柿** 炒鸡蛋很好吃。 → **Помидоры** с яйцом очень вкусные.
土豆,tǔ dòu,我喜欢吃**土豆**。 → Я люблю есть **картошку**.
黄瓜,huáng guā,夏天吃**黄瓜** 很解渴。 → Летом есть **огурцы** хорошо утоляет жажду.
白菜,bái cài,**白菜** 很便宜。 → **Пекинская капуста** очень дешёвая.
萝卜,luó bo,冬天的**萝卜** 很甜。 → Зимний **редис** очень сладкий.
茄子,qié zi,这道**茄子** 真好吃。 → Этот **баклажан** действительно вкусный.
辣椒,là jiāo,四川菜放很多**辣椒**。 → В сычуаньскую еду кладут много **перца**.
水果,shuǐ guǒ,我每天吃**水果**。 → Я каждый день ем **фрукты**.
苹果,píng guǒ,这个**苹果** 很甜。 → Это **яблоко** очень сладкое.
香蕉,xiāng jiāo,**香蕉** 是黄色的。 → **Банан** жёлтого цвета.
西瓜,xī guā,夏天吃**西瓜** 很爽。 → Летом есть **арбуз** очень здорово.
橙子,chéng zi,**橙子** 有很多维生素。 → В **апельсинах** много витаминов.
