word,pinyin,context
阿姨,ā yí,"**阿姨**，您好！ → Здравствуйте, тётя!"
矮,ǎi,他比我**矮**一点。 → Он немного ниже меня.
爱好,ài hào,我的**爱好**是看书。 → Моё хобби — читать книги.
安全,ān quán,**安全**第一。 → Безопасность прежде всего.
安静,ān jìng,"请**安静**一下。 → Пожалуйста, потише."
把,bǎ,"请**把**门关上。 → Пожалуйста, закрой дверь."
班,bān,我们**班**有二十个学生。 → В нашем классе двадцать учеников.
办法,bàn fǎ,这是个好**办法**。 → Это хороший способ.
办公室,bàn gōng shì,他在**办公室**工作。 → Он работает в офисе.
半,bàn,现在三点**半**。 → Сейчас половина четвёртого.
帮忙,bāng máng,你能**帮忙**吗？ → Можешь помочь?
被,bèi,杯子**被**打碎了。 → Стакан разбит.
比较,bǐ jiào,今天**比较**冷。 → Сегодня довольно холодно.
比赛,bǐ sài,明天有足球**比赛**。 → Завтра футбольный матч.
必须,bì xū,你**必须**早点睡。 → Ты должен раньше ложиться спать.
别人,bié rén,不要管**别人**的事。 → Не лезь в чужие дела.
冰箱,bīng xiāng,**冰箱**里有水果。 → В холодильнике есть фрукты.
菜单,cài dān,"服务员，**菜单**请。 → Официант, меню, пожалуйста."
参加,cān jiā,我想**参加**比赛。 → Я хочу участвовать в соревновании.
差,chà,他的成绩很**差**。 → Его оценки плохие.
超市,chāo shì,我去**超市**买东西。 → Я иду в супермаркет за покупками.
成绩,chéng jì,他的**成绩**很好。 → У него хорошие оценки.
城市,chéng shì,北京是个大**城市**。 → Пекин — большой город.
迟到,chí dào,他经常**迟到**。 → Он часто опаздывает.
除了,chú le,"**除了**我，大家都来了。 → Кроме меня, все пришли."
春,chūn,**春**天来了。 → Весна пришла.
聪明,cōng míng,这个孩子很**聪明**。 → Этот ребёнок очень умный.
打扫,dǎ sǎo,我每天**打扫**房间。 → Я каждый день убираю комнату.
打算,dǎ suàn,你**打算**做什么？ → Что ты планируешь делать?
带,dài,记得**带**雨伞。 → Не забудь взять зонт.
担心,dān xīn,"别**担心**，会好的。 → Не волнуйся, всё будет хорошо."
当然,dāng rán,"**当然**可以！ → Конечно, можно!"
地方,dì fāng,这个**地方**很美。 → Это место очень красивое.
地铁,dì tiě,我坐**地铁**上班。 → Я еду на работу на метро.
地图,dì tú,我需要一张**地图**。 → Мне нужна карта.
电梯,diàn tī,**电梯**坏了。 → Лифт сломан.
电子邮件,diàn zǐ yóu jiàn,我给他发了一封**电子邮件**。 → Я отправил ему электронное письмо.
冬,dōng,**冬**天很冷。 → Зима очень холодная.
动物,dòng wù,我喜欢看**动物**。 → Я люблю смотреть на животных.
锻炼,duàn liàn,每天要**锻炼**身体。 → Каждый день нужно тренироваться.
饿,è,我有点**饿**了。 → Я немного проголодался.
耳朵,ěr duo,他的**耳朵**很大。 → У него большие уши.
发,fā,我给他**发**了短信。 → Я отправил ему сообщение.
发烧,fā shāo,孩子**发烧**了。 → Ребёнок температурит.
发现,fā xiàn,我**发现**了一个秘密。 → Я обнаружил секрет.
方便,fāng biàn,这里很**方便**。 → Здесь очень удобно.
放,fàng,把书**放**在桌子上。 → Положи книгу на стол.
放心,fàng xīn,你**放心**吧。 → Не беспокойся.
附近,fù jìn,**附近**有银行吗？ → Есть ли поблизости банк?
复习,fù xí,我在**复习**功课。 → Я повторяю уроки.
干净,gān jìng,房间很**干净**。 → Комната очень чистая.
感冒,gǎn mào,我**感冒**了。 → Я простудился.
感兴趣,gǎn xìng qù,我对历史**感兴趣**。 → Мне интересна история.
刚才,gāng cái,他**刚才**来了。 → Он только что приходил.
