word,synonym,explanation
爱惜,珍惜,"**爱惜** (àixī) — беречь, бережно расходовать то, что есть: вещи, силы, время, здоровье; акцент на аккуратном обращении и нежелании тратить впустую. **珍惜** (zhēnxī) — дорожить как ценностью, осознавать редкость и важность: возможности, чувства, дружбу, время. Разница: 爱惜 — про бережное практическое обращение, 珍惜 — про внутреннюю оценку ценности. Коллокации: 爱惜粮食、爱惜身体、爱惜东西; 珍惜机会、珍惜时间、珍惜友谊."
宝贵,珍贵,"**宝贵** (bǎoguì) — ценный, важный; чаще об абстрактном: время, опыт, мнения, жизнь; подчёркивает практическую значимость. **珍贵** (zhēnguì) — драгоценный из-за редкости; чаще о конкретных вещах и памятных предметах: подарки, фотографии, материалы, реликвии. Разница: 宝贵 — «очень нужный и полезный», 珍贵 — «редкий, которым дорожат». Коллокации: 宝贵的时间、宝贵的经验、宝贵的意见; 珍贵的礼物、珍贵的照片、珍贵的文物."
包含,包括,"**包含** (bāohán) — содержать внутри себя как составную часть или скрытый смысл; чаще об абстрактном содержании, без перечисления. **包括** (bāokuò) — включать в состав, обычно с явным перечислением элементов; после него часто идёт список. Разница: 包含 — «внутри X заключено Y» (смысл, чувство, элемент), 包括 — «в X входят A, B, C» (перечень). Коллокации: 包含深刻的道理、话里包含着感情; 包括周末在内、费用包括住宿和机票、包括老人和孩子."
仿佛,好像,"**仿佛** (fǎngfú) — «словно, как будто»; книжное, характерно для письменной речи и художественных сравнений. **好像** (hǎoxiàng) — «похоже, кажется»; нейтрально-разговорное, самое частотное; выражает и сходство, и предположение. Разница: в сравнениях слова взаимозаменяемы и различаются регистром (仿佛 — книжное, 好像 — повседневное), но догадку о факте («кажется, он не знает») выражает только 好像. Коллокации: 仿佛置身梦中、仿佛回到了童年; 好像要下雨了、他好像不知道、好像见过这个人."
关心,关怀,"**关心** (guānxīn) — повседневная забота, интерес и внимание; взаимно, между равными: друзья, родные, коллеги; также «интересоваться вопросом». **关怀** (guānhuái) — тёплая опека «сверху вниз»: от руководства, государства, старших к младшим; официально-торжественный оттенок, чаще в письменной речи. Разница: 关心 — нейтральное и универсальное, 关怀 — иерархичное и книжное. Коллокации: 关心父母、关心学习、互相关心; 领导的关怀、党和政府的关怀、无微不至的关怀."
似乎,仿佛,"**似乎** (sìhū) — «по-видимому, кажется»; книжное наречие, выражает неуверенное суждение, субъективное впечатление о факте. **仿佛** (fǎngfú) — «словно, будто»; тоже книжное, но тяготеет к образному сравнению, к ощущению «как если бы»; может вводить сравнение с 一样/似的. Разница: 似乎 — про оценку вероятности («похоже, что так»), 仿佛 — про сравнение и иллюзию. Коллокации: 似乎有道理、他似乎不太满意、问题似乎解决了; 仿佛一场梦、仿佛听见有人叫我."
逐渐,渐渐,"**逐渐** (zhújiàn) — «постепенно»; книжное, подчёркивает объективный поэтапный процесс изменения; характерно для письменной и официальной речи. **渐渐** (jiànjiàn) — «мало-помалу»; разговорное, описывает плавное естественное изменение; часто оформляется как 渐渐地. Разница: смысл почти совпадает, главное различие — регистр: 逐渐 — письменный стиль, 渐渐 — устный. Коллокации: 逐渐扩大、逐渐形成、逐渐增加; 天渐渐黑了、渐渐习惯了、渐渐地安静下来."
高兴,快乐,"**高兴** (gāoxìng) — радостный по конкретному поводу, сиюминутная эмоция «здесь и сейчас»; также «охотно, с удовольствием» (高兴做某事). **快乐** (kuàilè) — счастливый, радостный как состояние или фон жизни; длительнее и глубже, стандартное слово в поздравлениях. Разница: 高兴 — кратковременная реакция на событие, 快乐 — устойчивое состояние. Коллокации: 见到你很高兴、高兴得跳起来、不高兴; 生日快乐、新年快乐、快乐的童年."
美丽,漂亮,"**美丽** (měilì) — красивый, прекрасный; книжное, с возвышенным оттенком; о пейзажах, городах, легендах, внутренней красоте; о мужчинах не говорят. **漂亮** (piàoliang) — красивый, симпатичный; разговорное, о внешнем виде людей и вещей; также «отлично сделанный» (干得漂亮). Разница: 美丽 — письменно-поэтичное и более глубокое, 漂亮 — повседневное, про внешнюю привлекательность. Коллокации: 美丽的风景、美丽的传说、美丽的心灵; 漂亮的姑娘、衣服很漂亮、漂亮的进球."
丰富,充足,"**丰富** (fēngfù) — богатый, обильный и разнообразный; подчёркивает многообразие видов и содержания: опыт, знания, ресурсы; также глагол «обогащать». **充足** (chōngzú) — достаточный, в полном объёме; только о количестве, покрывающем потребность: свет, сон, средства, кислород. Разница: не полные синонимы — 丰富 про разнообразие и насыщенность, 充足 про достаточность по количеству. Коллокации: 经验丰富、内容丰富、丰富多彩; 阳光充足、睡眠充足、资金充足."
