word,pinyin,context
零,líng,**零** 现在是零下五度。 → Сейчас минус (**ноль**) пять градусов.
一,yī,**一** 我有一个弟弟。 → У меня есть **один** младший брат.
二,èr,**二** 二加二等于四。 → **Два** плюс два равно четыре.
三,sān,**三** 我们家有三口人。 → В нашей семье **три** человека.
四,sì,**四** 一年有四个季节。 → В году **четыре** времени года.
五,wǔ,**五** 我五点下班。 → Я заканчиваю работу в **пять** часов.
六,liù,**六** 他六岁了。 → Ему **шесть** лет.
七,qī,**七** 一个星期有七天。 → В неделе **семь** дней.
八,bā,**八** 我家住八楼。 → Я живу на **восьмом** этаже.
九,jiǔ,**九** 现在是九点。 → Сейчас **девять** часов.
十,shí,**十** 我学了十年中文。 → Я учу китайский **десять** лет.
百,bǎi,**百** 这本书一百块钱。 → Эта книга стоит **сто** юаней.
千,qiān,**千** 这个手机三千块。 → Этот телефон стоит три **тысячи** юаней.
万,wàn,**万** 北京有两千万人。 → В Пекине двадцать **миллионов** (тысяч) людей.
两,liǎng,**两** 我买了两本书。 → Я купил **две** книги.
几,jǐ,**几** 现在几点了？ → **Который** сейчас час?
第一,dì yī,**第一** 这是我第一次来中国。 → Это мой **первый** раз в Китае.
第二,dì èr,**第二** 我坐第二排。 → Я сижу во **втором** ряду.
星期一,xīng qī yī,**星期一** 我星期一上班。 → В **понедельник** я иду на работу.
星期二,xīng qī èr,**星期二** 星期二我有汉语课。 → Во **вторник** у меня урок китайского.
星期三,xīng qī sān,**星期三** 星期三我们开会。 → В **среду** у нас собрание.
星期四,xīng qī sì,**星期四** 星期四他来我家。 → В **четверг** он придёт ко мне.
星期五,xīng qī wǔ,**星期五** 星期五晚上去喝酒。 → В **пятницу** вечером идём выпить.
星期六,xīng qī liù,**星期六** 星期六我休息。 → В **субботу** я отдыхаю.
星期天,xīng qī tiān,**星期天** 星期天去公园。 → В **воскресенье** идём в парк.
周末,zhōu mò,**周末** 周末你做什么？ → Что ты делаешь в **выходные**?
早上,zǎo shang,**早上** 早上我喝咖啡。 → **Утром** я пью кофе.
上午,shàng wǔ,**上午** 上午我有课。 → **До полудня** у меня занятия.
中午,zhōng wǔ,**中午** 我们中午一起吃饭。 → Мы **в полдень** обедаем вместе.
下午,xià wǔ,**下午** 下午三点见面。 → Встретимся в три часа **дня**.
晚上,wǎn shang,**晚上** 晚上我看电视。 → **Вечером** я смотрю телевизор.
半夜,bàn yè,**半夜** 他半夜才回家。 → Он вернулся домой только **посреди ночи**.
今天,jīn tiān,**今天** 今天天气很好。 → **Сегодня** хорошая погода.
明天,míng tiān,**明天** 明天我去机场。 → **Завтра** я еду в аэропорт.
后天,hòu tiān,**后天** 后天是我的生日。 → **Послезавтра** мой день рождения.
昨天,zuó tiān,**昨天** 昨天我没去上班。 → **Вчера** я не ходил на работу.
前天,qián tiān,**前天** 前天下大雨。 → **Позавчера** шёл сильный дождь.
一月,yī yuè,**一月** 一月很冷。 → В **январе** очень холодно.
七月,qī yuè,**七月** 七月我去旅游。 → В **июле** я еду в путешествие.
十二月,shí èr yuè,**十二月** 十二月有圣诞节。 → В **декабре** Рождество.
年,nián,**年** 我在这里住了三年。 → Я живу здесь три **года**.
月,yuè,**月** 我下个月去日本。 → В следующем **месяце** я еду в Японию.
日,rì,**日** 今天是五月一日。 → Сегодня первое мая (1-е **число**).
号,hào,**号** 今天几号？ → Какое сегодня **число**?
星期,xīng qī,**星期** 这个星期我很忙。 → На этой **неделе** я очень занят.
周,zhōu,**周** 一周有七天。 → В **неделе** семь дней.
小时,xiǎo shí,**小时** 我等了一个小时。 → Я ждал один **час**.
分钟,fēn zhōng,**分钟** 还有五分钟下课。 → Ещё пять **минут** до конца урока.
秒,miǎo,**秒** 一分钟有六十秒。 → В одной минуте шестьдесят **секунд**.
现在,xiàn zài,**现在** 现在几点？ → **Сейчас** который час?
以前,yǐ qián,**以前** 我以前住在北京。 → **Раньше** я жил в Пекине.
以后,yǐ hòu,**以后** 以后我想去中国。 → **Потом** я хочу поехать в Китай.
刚才,gāng cái,**刚才** 刚才有人找你。 → **Только что** тебя искали.
一会儿,yí huìr,**一会儿** 我一会儿就回来。 → Я скоро (**через минутку**) вернусь.
马上,mǎ shàng,**马上** 我马上就来。 → Я **сейчас же** приду.
已经,yǐ jīng,**已经** 他已经走了。 → Он **уже** ушёл.
还,hái,**还** 我还没吃饭。 → Я **ещё** не поел.
总是,zǒng shì,**总是** 他总是迟到。 → Он **всегда** опаздывает.
经常,jīng cháng,**经常** 我经常去图书馆。 → Я **часто** хожу в библиотеку.
有时候,yǒu shí hou,**有时候** 有时候我在家工作。 → **Иногда** я работаю дома.
从来,cóng lái,**从来** 我从来不抽烟。 → Я **никогда** не курю.
时候,shí hou,**时候** 你什么时候来？ → **Когда** ты придёшь?
时间,shí jiān,**时间** 我没有时间。 → У меня нет **времени**.
点,diǎn,**点** 现在三点半。 → Сейчас половина четвёртого (три **часа** тридцать).
半,bàn,**半** 我们八点半见。 → Встретимся в **половине** девятого.
刻,kè,**刻** 现在两点一刻。 → Сейчас два часа пятнадцать минут (один **квартал**).
差,chà,**差** 差五分钟九点。 → **Без** пяти девять.
