word,pinyin,context
妈妈,mā ma,**妈妈** 在做饭。 → **Мама** готовит еду.
爸爸,bà ba,**爸爸** 在看报纸。 → **Папа** читает газету.
父亲,fù qīn,我的 **父亲** 是医生。 → Мой **отец** — врач.
母亲,mǔ qīn,**母亲** 很爱我。 → **Мать** очень меня любит.
父母,fù mǔ,我的 **父母** 都在北京。 → Мои **родители** оба в Пекине.
儿子,ér zi,他有一个 **儿子**。 → У него есть **сын**.
女儿,nǚ ér,我的 **女儿** 五岁了。 → Моей **дочери** пять лет.
孩子,hái zi,这个 **孩子** 很可爱。 → Этот **ребёнок** очень милый.
孩子们,hái zi men,**孩子们** 在公园玩。 → **Дети** играют в парке.
兄弟,xiōng dì,他们是 **兄弟**。 → Они — **братья**.
姐妹,jiě mèi,我们是 **姐妹**。 → Мы — **сёстры**.
哥哥,gē ge,我的 **哥哥** 在大学读书。 → Мой **старший брат** учится в университете.
姐姐,jiě jie,**姐姐** 比我大两岁。 → **Старшая сестра** на два года старше меня.
弟弟,dì di,**弟弟** 喜欢踢足球。 → **Младший брат** любит играть в футбол.
妹妹,mèi mei,**妹妹** 还在上小学。 → **Младшая сестра** ещё в начальной школе.
爷爷,yé ye,**爷爷** 今年八十岁。 → **Дедушке (по отцу)** в этом году восемьдесят лет.
奶奶,nǎi nai,"**奶奶** 做的饺子最好吃。 → Пельмени, которые делает **бабушка (по отцу)**, самые вкусные."
外公,wài gōng,**外公** 住在乡下。 → **Дедушка (по матери)** живёт в деревне.
外婆,wài pó,**外婆** 喜欢种花。 → **Бабушка (по матери)** любит выращивать цветы.
姥姥,lǎo lao,**姥姥** 给我讲故事。 → **Бабушка (по матери)** рассказывает мне сказки.
姥爷,lǎo ye,**姥爷** 教我下棋。 → **Дедушка (по матери)** учит меня играть в шахматы.
叔叔,shū shu,**叔叔** 是爸爸的弟弟。 → **Дядя (младший брат отца)** — младший брат папы.
舅舅,jiù jiu,**舅舅** 给我寄了礼物。 → **Дядя (брат матери)** прислал мне подарок.
姑姑,gū gu,**姑姑** 住在上海。 → **Тётя (сестра отца)** живёт в Шанхае.
阿姨,ā yí,这位 **阿姨** 很热情。 → Эта **тётя (или незнакомая женщина средних лет)** очень приветливая.
表哥,biǎo gē,我的 **表哥** 在银行工作。 → Мой **двоюродный старший брат (по матери)** работает в банке.
表姐,biǎo jiě,**表姐** 要结婚了。 → **Двоюродная старшая сестра (по матери)** выходит замуж.
表弟,biǎo dì,**表弟** 喜欢打游戏。 → **Двоюродный младший брат (по матери)** любит играть в видеоигры.
表妹,biǎo mèi,**表妹** 学钢琴。 → **Двоюродная младшая сестра (по матери)** учится играть на пианино.
堂哥,táng gē,"**堂哥** 跟我同姓。 → У **двоюродного старшего брата (по отцу)** та же фамилия, что и у меня."
堂姐,táng jiě,**堂姐** 在国外留学。 → **Двоюродная старшая сестра (по отцу)** учится за границей.
丈夫,zhàng fu,她的 **丈夫** 是工程师。 → Её **муж** — инженер.
妻子,qī zi,他的 **妻子** 很漂亮。 → Его **жена** очень красивая.
爱人,ài ren,这是我的 **爱人**。 → Это мой(я) **супруг(а)**.
老公,lǎo gōng,我 **老公** 在加班。 → Мой **муж (разг.)** работает сверхурочно.
老婆,lǎo po,我 **老婆** 做饭很好吃。 → Моя **жена (разг.)** очень вкусно готовит.
男朋友,nán péng you,她有 **男朋友** 了。 → У неё уже есть **парень**.
女朋友,nǚ péng you,他在找 **女朋友**。 → Он ищет **девушку**.
家,jiā,欢迎回 **家**。 → Добро пожаловать **домой**.
家人,jiā rén,我爱我的 **家人**。 → Я люблю свою **семью**.
家庭,jiā tíng,这是一个幸福的 **家庭**。 → Это счастливая **семья**.
亲戚,qīn qi,我们是 **亲戚**。 → Мы — **родственники**.
长辈,zhǎng bèi,要尊敬 **长辈**。 → Нужно уважать **старших**.
邻居,lín jū,我的 **邻居** 很友好。 → Мой **сосед** очень дружелюбный.
朋友,péng you,他是我的好 **朋友**。 → Он мой хороший **друг**.
同学,tóng xué,我们是 **同学**。 → Мы — **одноклассники / однокурсники**.
同事,tóng shì,我的 **同事** 都很努力。 → Мои **коллеги** очень старательные.
老师,lǎo shī,**老师** 在上课。 → **Учитель** ведёт урок.
学生,xué sheng,他是一名 **学生**。 → Он — **ученик**.
客人,kè rén,**客人** 来了。 → **Гости** пришли.
男人,nán rén,那个 **男人** 很高。 → Тот **мужчина** очень высокий.
女人,nǚ rén,这个 **女人** 很聪明。 → Эта **женщина** очень умная.
大人,dà ren,**大人** 在说话。 → **Взрослые** разговаривают.
小孩,xiǎo hái,**小孩** 在哭。 → **Ребёнок** плачет.
婴儿,yīng ér,**婴儿** 睡着了。 → **Младенец** уснул.
老人,lǎo rén,要帮助 **老人**。 → Нужно помогать **пожилым людям**.
