word,pinyin,context
头,tóu,**头** 我的头很疼。 → У меня очень болит **голова**.
头发,tóu fà,**头发** 她的头发很长。 → У неё длинные **волосы**.
脸,liǎn,**脸** 你的脸红了。 → Твоё **лицо** покраснело.
眼睛,yǎn jīng,**眼睛** 他的眼睛很大。 → У него большие **глаза**.
鼻子,bí zi,**鼻子** 我的鼻子不舒服。 → Мой **нос** болит.
嘴,zuǐ,"**嘴** 请张开嘴。 → Откройте, пожалуйста, **рот**."
嘴巴,zuǐ ba,**嘴巴** 小孩子的嘴巴很小。 → У ребёнка маленький **рот**.
耳朵,ěr duo,**耳朵** 我的耳朵听不见。 → Мои **уши** не слышат.
牙,yá,**牙** 我的牙很疼。 → У меня очень болит **зуб**.
牙齿,yá chǐ,**牙齿** 每天要刷牙齿。 → Нужно каждый день чистить **зубы**.
舌头,shé tou,"**舌头** 请伸出舌头。 → Высуньте, пожалуйста, **язык**."
脖子,bó zi,**脖子** 我的脖子很僵硬。 → У меня затекла **шея**.
肩膀,jiān bǎng,**肩膀** 他的肩膀很宽。 → У него широкие **плечи**.
胳膊,gē bo,**胳膊** 我的胳膊很疼。 → У меня болит **рука** (от плеча до кисти).
手,shǒu,**手** 饭前要洗手。 → Перед едой нужно мыть **руки**.
手指,shǒu zhǐ,**手指** 我的手指受伤了。 → Я поранил **палец**.
腿,tuǐ,**腿** 跑步以后腿很累。 → После бега **ноги** очень устали.
脚,jiǎo,**脚** 我的脚很冷。 → Мои **ноги** (ступни) замёрзли.
膝盖,xī gài,**膝盖** 我的膝盖摔伤了。 → Я ушиб **колено**.
背,bèi,**背** 我的背很疼。 → У меня болит **спина**.
胸,xiōng,**胸** 他的胸很疼。 → У него болит **грудь**.
肚子,dù zi,**肚子** 我的肚子很饿。 → У меня **живот** урчит от голода.
腰,yāo,**腰** 我的腰很疼。 → У меня болит **поясница**.
心脏,xīn zàng,**心脏** 他的心脏不好。 → У него больное **сердце**.
胃,wèi,**胃** 我的胃不舒服。 → У меня болит **желудок**.
骨头,gǔ tou,**骨头** 老人的骨头很脆。 → У пожилых людей хрупкие **кости**.
血,xuè,**血** 他的手在流血。 → У него на руке **кровь**.
病,bìng,**病** 他得了重病。 → Он тяжело **заболел**.
生病,shēng bìng,**生病** 我昨天生病了。 → Я вчера **заболел**.
感冒,gǎn mào,**感冒** 我感冒了三天。 → Я **простудился** на три дня.
发烧,fā shāo,**发烧** 孩子发烧了。 → У ребёнка **жар**.
咳嗽,ké sou,**咳嗽** 他咳嗽得很厉害。 → Он сильно **кашляет**.
头疼,tóu téng,**头疼** 我有点头疼。 → У меня немного **болит голова**.
肚子疼,dù zi téng,"**肚子疼** 我吃多了肚子疼。 → Я переел, и **живот болит**."
嗓子,sǎng zi,**嗓子** 我的嗓子哑了。 → У меня охрип **голос**.
疼,téng,**疼** 这里很疼。 → Здесь очень **больно**.
累,lèi,**累** 工作以后我很累。 → После работы я очень **устал**.
难受,nán shòu,**难受** 我今天很难受。 → Мне сегодня **плохо**.
打喷嚏,dǎ pēn tì,**打喷嚏** 他一直在打喷嚏。 → Он постоянно **чихает**.
拉肚子,lā dù zi,**拉肚子** 我昨天拉肚子了。 → У меня вчера был **понос**.
医生,yī shēng,**医生** 我要去看医生。 → Мне нужно к **врачу**.
大夫,dài fu,**大夫** 大夫给我开了药。 → **Доктор** выписал мне лекарство.
护士,hù shi,**护士** 护士很热心。 → **Медсестра** очень заботливая.
医院,yī yuàn,**医院** 我送他去医院。 → Я отвёз его в **больницу**.
药,yào,**药** 这种药很苦。 → Это **лекарство** очень горькое.
药店,yào diàn,**药店** 药店在十字路口。 → **Аптека** на перекрёстке.
体温,tǐ wēn,**体温** 你的体温是多少? → Какая у тебя **температура тела**?
看病,kàn bìng,**看病** 我明天去看病。 → Я завтра иду **на приём к врачу**.
挂号,guà hào,**挂号** 看病要先挂号。 → Перед приёмом нужно **записаться в регистратуре**.
住院,zhù yuàn,**住院** 他住院一周了。 → Он уже неделю **лежит в больнице**.
检查,jiǎn chá,**检查** 医生给我做检查。 → Врач провёл мне **осмотр**.
打针,dǎ zhēn,**打针** 孩子不喜欢打针。 → Ребёнок не любит **уколы**.
健康,jiàn kāng,**健康** 健康最重要。 → **Здоровье** важнее всего.
锻炼,duàn liàn,**锻炼** 每天锻炼身体。 → Каждый день нужно **тренироваться**.
跑步,pǎo bù,**跑步** 早上我去跑步。 → Утром я хожу **на пробежку**.
运动,yùn dòng,**运动** 我喜欢运动。 → Я люблю **спорт**.
散步,sàn bù,**散步** 晚上我们去散步。 → Вечером мы идём **на прогулку**.
休息,xiū xi,**休息** 你应该多休息。 → Тебе нужно больше **отдыхать**.
睡觉,shuì jiào,**睡觉** 我十点睡觉。 → Я ложусь **спать** в десять.
吃药,chī yào,**吃药** 别忘了吃药。 → Не забудь **принять лекарство**.
喝水,hē shuǐ,**喝水** 多喝水对身体好。 → Полезно много **пить воду**.
保重,bǎo zhòng,"**保重** 请保重身体。 → **Береги себя**, пожалуйста."
